"ID";"WijkenEnBuurten";"TotaalGeweldsEnSeksueleMisdrijven_22";"Mishandeling_23";"BedreigingEnStalking_24";"OverigeGeweldsEnSeksueleMisdrijven_25"
"15322";"BU04570401";"1";"1";"0";"0"
"15323";"BU04570402";"5";"3";"0";"2"
"15324";"WK045707  ";"0";"0";"0";"0"
"15325";"BU04570701";"0";"0";"0";"0"
"15326";"WK045708  ";"0";"0";"0";"0"
"15327";"BU04570801";"0";"0";"0";"0"
"15328";"WK045709  ";"0";"0";"0";"0"
"15329";"BU04570901";"0";"0";"0";"0"
"15330";"BU04570902";"0";"0";"0";"0"
"15331";"BU04570903";"0";"0";"0";"0"
"15332";"GM0870    ";"56";"26";"23";"7"
"15333";"WK087001  ";"24";"8";"10";"6"
"15334";"BU08700101";"6";"1";"4";"1"
"15335";"BU08700102";"4";"1";"2";"1"
"15336";"BU08700103";"2";"1";"1";"0"
"15337";"BU08700104";"8";"4";"2";"2"
"15338";"BU08700105";"2";"0";"0";"2"
"15339";"BU08700106";"2";"1";"1";"0"
"15340";"BU08700191";"0";"0";"0";"0"
"15341";"BU08700192";"0";"0";"0";"0"
"15342";"BU08700193";"0";"0";"0";"0"
"15343";"BU08700194";"0";"0";"0";"0"
"15344";"BU08700195";"0";"0";"0";"0"
"15345";"BU08700196";"0";"0";"0";"0"
"15346";"WK087002  ";"9";"4";"5";"0"
"15347";"BU08700201";"9";"4";"5";"0"
"15348";"BU08700202";"0";"0";"0";"0"
"15349";"BU08700291";"0";"0";"0";"0"
"15350";"BU08700292";"0";"0";"0";"0"
"15351";"WK087003  ";"8";"5";"3";"0"
"15352";"BU08700301";"8";"5";"3";"0"
"15353";"BU08700302";"0";"0";"0";"0"
"15354";"BU08700391";"0";"0";"0";"0"
"15355";"BU08700392";"0";"0";"0";"0"
"15356";"WK087004  ";"14";"9";"4";"1"
"15357";"BU08700401";"12";"7";"4";"1"
"15358";"BU08700402";"0";"0";"0";"0"
"15359";"BU08700491";"0";"0";"0";"0"
"15360";"BU08700492";;;;
"15361";"BU08700493";"0";"0";"0";"0"
"15362";"BU08700494";;;;
"15363";"BU08700495";"2";"2";"0";"0"
"15364";"WK087005  ";"1";"0";"1";"0"
"15365";"BU08700501";"1";"0";"1";"0"
"15366";"BU08700502";"0";"0";"0";"0"
"15367";"BU08700591";"0";"0";"0";"0"
"15368";"GM0668    ";"30";"16";"9";"5"
"15369";"WK066801  ";"4";"4";"0";"0"
"15370";"BU06680100";"3";"3";"0";"0"
"15371";"BU06680101";"1";"1";"0";"0"
"15372";"WK066802  ";"2";"1";"1";"0"
